Bright,,,Filios,,,Bowles,,
Species,Date,Location,Species,Date,Location,Species,Date,Location
White-crowned Sparrow,2/3/2016,"Moscow, ID",Cliff Swallow,3/18/2016,"Glendare Recharge Ponds, AZ",,,
Red-winged Blackbird,2/12/2016,"Moscow, ID",Black Phoebe,3/18/2016,"Glendare Recharge Ponds, AZ",,,
Cackling Goose,2/17/2016,"Latah, ID",Least Sandpiper,3/18/2016,"Glendare Recharge Ponds, AZ",,,
Rough-legged Hawk,2/17/2016,"Latah, ID",Cactus Wren,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Bufflehead,2/22/2016,"Latah, ID",Song Sparrow,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Common Goldeneye,2/22/2016,"Latah, ID",Neotropic Cormorant,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Killdeer,3/3/2016,"Moscow, ID",Double-crested Cormorant,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Say's Phoebe,3/17/2016,"Moscow, ID",Ruddy Duck,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Western Bluebird,3/18/2016,"Latah, ID",Long-billed Dowitcher,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Spotted Towhee,3/18/2016,"Latah, ID",Blue-winged Teal,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Western Meadowlark,3/18/2016,"Latah, ID",Eurasian Collared-Dove,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Pacific Wren,3/19/2016,"Kootenai, ID",Curve-billed Thrasher,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Chestnut-backed Chickadee,3/20/2016,"Kootenai, ID",Pied-billed Grebe,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Gadwall,3/24/2016,"Genesee, ID",Ring-necked Duck,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
Lesser Scaup,3/24/2016,"Genesee, ID",Lesser Scaup,3/19/2016,"Gilbert Riparian Preserve, AZ",,,
